Make,Units,Price
East Texas Trailers,505,5579392.3
Big Tex,344,3248569.16
Liberty Industries Inc.,138,706385.55
Quality Cargo Trailers,127,1132383.1
TrailMax,123,2111701.28
ED Trailers,105,1224794.9
Spartan Cargo Trailers,100,710753.98
RawMaxx,76,999470.43
High Country,63,596770.0
PJ Trailers,61,622600.23
GPS Trailers,54,312350.0
Delco Trailers,51,612361.84
Iron Bull Trailers,45,430052.92
Stealth Trailer,44,522202.83
Haulmark,25,248977.28
TXP,23,149329.0
Trailmaxx,20,322820.0
Diamond Cargo,19,129860.96
Horizon,17,218723.0
Texas Pavillion,16,77815.34
South Georgia Cargo,12,140023.02
Stagecoach Trailer,11,163234.0
East Texas,10,127485.0
Rock Solid Cargo,9,134306.82
ED,9,110685.0
Norstar,9,102663.53
East Texas ',8,99323.0
TrailMaxx,5,64225.0
Freedom Trailers,5,52316.31
L&O Manufacturing,5,17976.68
"Davidson Trailers, LLC",4,93861.0
A&R Cargo Trailers,4,60797.0
REPO BigTex,4,25145.0
Performance Trailer,3,43829.0
DEEP SOUTH,3,33000.0
Cardinal Trailer,3,28053.0
REPO RawMaxx,3,21600.0
Spartan Cargo Trailers x,3,0.0
BigTex,2,36990.0
Southern Utility Trailers,2,25900.0
ED x Dump,2,21200.0
Wells Cargo,2,20409.0
x ED,2,16500.0
Stallion,2,14846.0
Diamond C,2,12700.0
REPO Doolittle,2,8505.0
REPO LNG,2,7800.0
A & R Cargo,2,0.0
Load Rite,2,0.0
Maxxim,1,26250.0
BigTex GN,1,21995.0
Sure Pull,1,21495.0
REPO Delco,1,14250.0
Deep South,1,13610.0
Rawmaxx,1,13500.0
ft East Texas Lowboy,1,13500.0
REPO Stagecoach,1,13495.0
TuffDump,1,13215.0
Anvil Cargo Trailers,1,13150.0
Patriot,1,12600.0
Patriot Cargo Trailers,1,12600.0
American Hauler,1,12300.0
'xft TrailMaxx,1,11995.0
.x Spartan,1,11650.0
Horizon . x,1,11500.0
Road Dog,1,11075.0
'xft ED Trailers,1,10995.0
Platinum Star,1,9495.0
REPO IronStar,1,9200.0
Steel Pines Cargo,1,8999.0
Spartan Cargo,1,8380.0
REPO Big Tex,1,8200.0
Quality Cargo,1,7995.0
REPO Anvil,1,7700.0
x Spartan,1,7450.0
REPO Stealth x Seamless Sides,1,6500.0
"ft ,lb Axle",1,6390.0
Quality Cargo Trailers .x,1,5500.0
REPO Spartan,1,4695.0
Gatormade Trailers,1,4445.88
Tiger Trailers,1,4288.0
Load N Go,1,3885.0
"""xft Tandem Axle Utility",1,3795.0
REPO TXP,1,3600.0
TEXAS PAVILLION,1,3200.0
REPO East Texas,1,2995.0
DIAMOND CARGO,1,0.0
STEALTH TITAN,1,0.0
Stealth Titan,1,0.0
Steel Pines x,1,0.0
